,game,model,experiment,episode,metric,value
0,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_17,Precision,
1,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_17,Recall,
2,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_17,F1,
3,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_17,Main Score,
4,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_17,Average Changed Cell Count,
5,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_17,Average Generated Instruction Length,
6,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_17,Average Generated Expression Number of Tokens,
7,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_17,Success,0.0
8,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_17,Lose,0.0
9,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_17,Aborted,1.0
10,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_17,Aborted at Player 1,0.0
11,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_17,Aborted at Player 2,1.0
12,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_17,Request Count,2.0
13,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_17,Violated Request Count,1.0
14,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_17,Parsed Request Count,1.0
15,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_17,Request Success Ratio,0.5
16,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_2,Precision,
17,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_2,Recall,
18,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_2,F1,
19,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_2,Main Score,
20,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_2,Average Changed Cell Count,
21,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_2,Average Generated Instruction Length,
22,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_2,Average Generated Expression Number of Tokens,
23,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_2,Success,0.0
24,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_2,Lose,0.0
25,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_2,Aborted,1.0
26,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_2,Aborted at Player 1,0.0
27,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_2,Aborted at Player 2,1.0
28,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_2,Request Count,2.0
29,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_2,Violated Request Count,1.0
30,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_2,Parsed Request Count,1.0
31,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_2,Request Success Ratio,0.5
32,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_14,Precision,
33,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_14,Recall,
34,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_14,F1,
35,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_14,Main Score,
36,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_14,Average Changed Cell Count,
37,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_14,Average Generated Instruction Length,
38,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_14,Average Generated Expression Number of Tokens,
39,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_14,Success,0.0
40,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_14,Lose,0.0
41,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_14,Aborted,1.0
42,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_14,Aborted at Player 1,0.0
43,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_14,Aborted at Player 2,1.0
44,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_14,Request Count,2.0
45,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_14,Violated Request Count,1.0
46,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_14,Parsed Request Count,1.0
47,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_14,Request Success Ratio,0.5
48,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_16,Precision,
49,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_16,Recall,
50,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_16,F1,
51,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_16,Main Score,
52,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_16,Average Changed Cell Count,
53,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_16,Average Generated Instruction Length,
54,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_16,Average Generated Expression Number of Tokens,
55,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_16,Success,0.0
56,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_16,Lose,0.0
57,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_16,Aborted,1.0
58,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_16,Aborted at Player 1,0.0
59,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_16,Aborted at Player 2,1.0
60,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_16,Request Count,2.0
61,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_16,Violated Request Count,1.0
62,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_16,Parsed Request Count,1.0
63,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_16,Request Success Ratio,0.5
64,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_7,Precision,
65,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_7,Recall,
66,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_7,F1,
67,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_7,Main Score,
68,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_7,Average Changed Cell Count,
69,imagegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,1_random_grids,episode_7,Average Generated Instruction Length,
